Nº;CANTON:;NOMBRE DEL LOCAL:;DIRECCIÓN:;TELEFONO:;A.1.1;A.1.2;A.1.3;A.1.4;A.1.5;A.1.6;A.1.7;A.1.8;A.1.9;A.1.10;A.1.11;A.2.1;A.2.2;A.2.3;A.2.4;A.2.5;B.3.1;B.3.2;B.3.3;B.3.4;B.3.5;B.4.1;B.4.2;B.4.3;B.4.4;B.4.5;C.5.2.;C.5a.1;C.5a.2;C.5a.3;C.5a.4;C.5a.5;C.5a.6;C.5a.7;C.5a.8;C.5a.9;C.5a.10;C.6.1.;C.6a.1;C.6a.2;C.6a.3;C.6a.4;C.6a.5;C.6a.6;C.7.1;C.7.2;C.7.3;C.7.4;C.7.5;C.7.6;C.7.7;C.8.1;C.8.2;C.8.3;C.8.4;C.8.5;C.8.6;C.9.1;C.9.2;C.9.3;K.31.1;K.31.2;K.31.3;K.31.4;K.31.5;K.31.6;K.31.7;K.31.8;K.31.9;K.31.10;K.31.11;K.31.12;K.31.13;K.31.14;K.31.15;K.31.16;K.31.17;K.31.18;D.10.1;D.10.2;D.10.3;D.10.4;D.10.5;D.10.6;D.10.7;D.10.8;D.10.9;D.11.1;D.11.2;D.11.3;D.11.4;D.11.5;D.11.6;D.11.7;J.29.1;J.30.1;J.30.2;J.30.3;J.30.4;J.30.5;J.30.6;J.30.7;J.30.8;J.30.9;J.30.10;J.30.11;J.30.12;E.12.1;E.12.2;E.12.3;E.12.4;E.12.5;E.12.6;E.12.7;E.12.8;E.13.1;E.13.2;E.13.3;E.13.4;E.13.5;E.13.6;E.13.7;E.14.1;E.14.2;E.14.3;E.14.4;E.14.5;E.14.6;E.15.1;E.15.2;E.15.3;E.15.4;E.15.5;E.15.6;E.15.7;E.15.8;F.16.1;F.17.1;F.17.2;F.17.3;F.17.4;F.17.5;F.17.6;F.17.7;F.18.1;F.18.2;F.18.3;F.18.4;F.18.5;G.19.1;G.19.2;G.19.3;G.19.4;G.19.5;G.19.6;G.20.1;G.20.2;G.20.3;G.20.4;G.20.5;G.20.6;G.20.7;G.20.8;G.20.9;G.20.10;G.20.11;G.21.1;G.21.2;G.21.3;G.21.4;G.21.5;G.21.6;I.27.1;I.27.2;I.27.3;I.27.4;I.27.5;I.27.6;I.28.1;H.22.1;H.22.2;H.22.3;H.22.4;H.22.5;H.22.6;H.23.1;H.23.2;H.23.3;H.24.1;H.24.2;H.24.3;I.25.1;I.25.2;I.25.3;I.25.4;I.25.5;I.25.6;I.26.1;I.26.2;I.26.3;I.26.4;I.26.5;L.34.1;L.35.1;L.36.1;L.37.1;L.38.3;L.39.6;L.40.3;L.41.1;L.41.2;L.43.1;L.44.1
149;SUCRE;MECÁNICA MERO;Cristo Rey;0991312306;1;1;1;4;4;1;1;1;1;2;4;1;1;1;1;1;1;1;4;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;2;2;4;4;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;1;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;$ 800,00 ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;2;2;2;2;1;4;2;4;4;1;1;5;2;1;2;1;1;1;1;4;4;2;1;1;1;1;2;1;4;4;2;4;4;4;1;2;1;1;2;1;1;2;2;1;2;1;4;2;4;1;1;5;5;5;5;5;5;1;1;2;4;1;4;2;1;1;1;2;2;4;5;5;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;1;1;2;0;3;6;3;0;0;1;1
150;ROCAFUERTE;TALLER DE ELECTRÓNICA;Juan Montalbo y Eloy Alfaro;0981432236;2;1;1;3;3;1;1;1;1;1;2;1;4;2;1;1;2;2;3;4;2;2;2;2;1;2;2;1;4;1;1;1;4;1;1;1;2;2;3;1;4;2;1;1;4;2;4;1;4;4;4;5;5;5;5;1;5;2;2;2;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;1;5;5;5;5;1;$ 1.000,00 ;2;2;2;2;2;2;2;2;2;2;2;2;2;3;5;5;5;5;5;5;3;3;3;4;2;4;1;4;4;1;1;5;2;1;3;1;1;1;1;3;4;3;1;2;2;2;3;1;3;4;3;3;3;3;1;3;2;2;3;2;1;2;2;1;1;1;4;3;3;1;1;5;5;5;5;5;5;1;1;3;3;1;3;2;1;1;1;2;3;3;5;5;2;1;1;1;2;1;1;2;1;1;1;1;2;2;1;1;1;2;0;3;6;3;0;0;1;1
151;ROCAFUERTE;PAPELERÍA ALCÍVAR;San Eloy ;0986729958;2;2;2;5;3;1;1;1;1;2;5;1;2;2;1;1;2;2;2;2;2;3;3;2;1;2;2;1;4;1;1;1;1;1;1;1;2;2;2;2;3;1;1;1;5;1;5;5;5;1;5;5;5;5;1;5;5;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;$ 1.300,00 ;2;2;1;1;2;2;2;2;2;2;1;2;5;5;5;5;5;5;5;5;3;3;3;3;1;3;1;5;5;1;1;5;5;1;4;1;1;1;1;3;4;2;1;1;1;1;3;1;3;4;2;3;3;3;1;1;2;2;2;1;1;1;1;1;2;1;4;3;4;1;1;5;5;5;5;5;5;1;1;3;5;1;3;1;1;1;1;2;4;4;5;5;1;1;1;1;2;2;1;2;2;1;2;2;1;2;2;2;1;2;0;4;6;4;0;0;1;2
152;SUCRE;VENTA DE ARROZ;Pasadero;0980180315;2;1;1;5;3;1;1;1;1;2;5;2;2;1;1;1;3;3;2;3;1;1;1;1;1;1;2;1;4;1;1;1;1;1;1;1;2;2;3;2;2;3;1;1;3;3;2;3;3;3;4;5;5;5;1;5;5;1;1;1;4;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;1;5;5;5;5;5;1;5;5;4;1;4;4;4;1;4;$ 1.000,00 ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;5;2;1;3;2;1;4;4;4;4;2;2;3;3;1;4;2;2;1;1;3;4;3;2;2;2;2;3;1;2;3;3;4;4;4;1;3;3;3;2;1;1;2;2;1;1;1;4;4;4;1;1;5;5;5;5;5;5;1;1;3;3;1;5;2;1;1;1;2;3;3;5;5;1;1;1;1;2;1;1;1;1;1;2;1;2;2;1;1;1;2;0;2;6;1;0;0;1;1
153;SUCRE;LOCALES URETA;Calle Eloy Alfaro de Charapoto;0969418132;1;2;3;1;3;1;3;1;1;1;5;1;1;1;1;1;2;2;4;4;2;2;2;1;1;1;2;1;4;1;1;4;4;4;1;1;3;2;2;1;3;1;1;1;1;5;5;5;5;5;5;5;5;5;1;5;5;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;1;1;5;5;5;5;$ 800,00 ;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;3;4;5;5;5;5;2;5;5;1;2;1;2;2;1;4;5;2;2;2;2;2;1;1;5;4;3;4;4;4;1;1;2;2;2;2;1;3;3;1;3;1;5;4;4;1;1;5;5;5;5;5;5;1;1;1;5;1;5;2;2;2;1;2;4;4;5;5;2;1;1;1;2;2;1;2;1;1;2;2;2;1;2;2;1;2;0;2;5;3;0;0;1;1
154;ROCAFUERTE;VENTA DE GRANOS;San Eloy ;0992385083;2;2;2;4;2;1;1;1;1;1;4;2;2;1;1;1;2;1;3;3;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;2;3;3;3;3;1;1;2;2;5;5;5;5;5;5;5;5;1;5;5;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;1;5;5;5;1;5;$ 1.000,00 ;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;5;5;5;3;3;3;3;1;3;2;5;4;1;1;5;5;1;3;1;1;1;2;4;3;2;1;1;1;1;2;1;3;4;2;4;4;4;2;2;2;2;2;2;1;2;2;2;2;1;5;2;2;1;1;5;5;5;5;5;5;1;1;3;4;1;5;2;1;2;1;1;4;4;5;5;1;1;1;1;2;1;1;2;1;1;2;2;2;1;2;2;1;2;0;3;6;3;0;0;1;1
155;SUCRE;LUBRICANTES MUÑOZ;Anibal San Andres;0994396731;2;1;1;3;3;1;1;1;1;2;5;1;3;1;1;1;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;4;2;4;1;1;2;2;3;3;3;2;1;1;2;2;5;5;5;2;5;5;5;5;5;1;5;2;2;2;5;5;5;5;5;5;5;5;4;5;5;5;5;5;4;5;5;5;1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;$ 1.000,00 ;2;2;2;2;2;2;2;2;2;2;1;2;5;5;5;5;5;5;5;5;3;3;3;3;1;4;2;5;5;1;1;5;5;1;3;2;2;1;2;4;4;2;1;1;1;1;3;1;3;3;2;4;4;4;1;2;2;1;3;2;1;2;2;2;2;1;4;3;4;1;1;5;5;5;5;5;5;1;1;4;4;1;4;2;1;1;1;2;4;3;5;5;1;1;1;1;2;1;1;2;2;2;2;2;1;2;2;1;1;2;0;3;6;3;0;0;1;2
156;ROCAFUERTE;FRIGORÍFICO VÁSQUEZ;Calle Pichincha;0998277657;1;1;1;3;3;1;1;1;1;2;1;2;3;2;1;2;2;3;3;3;1;1;1;1;1;1;2;1;4;1;1;4;4;4;1;1;2;2;3;2;3;2;1;1;3;2;3;2;3;2;4;5;5;5;1;5;5;2;2;2;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;$ 1.900,00 ;2;2;2;2;2;2;3;2;2;2;2;2;2;2;5;5;5;5;5;5;3;2;3;2;1;4;1;4;3;1;1;5;5;1;3;1;1;1;1;3;4;2;1;2;2;1;3;1;3;3;3;3;4;4;1;3;3;2;3;1;1;2;3;1;2;1;5;1;1;1;1;5;5;5;5;5;5;1;1;4;4;1;5;2;1;1;1;2;3;3;5;5;1;1;1;1;2;1;1;1;1;1;2;2;2;2;1;1;1;2;0;3;6;3;1;0;1;2
157;SUCRE;TIENDA VERA;Cañitas;0994153650;1;1;1;4;1;1;1;1;1;1;4;1;1;1;1;1;4;1;4;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;1;1;1;4;4;4;4;4;4;4;4;1;4;4;1;1;1;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;1;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;$ 900,00 ;2;2;2;2;2;2;2;2;1;2;1;2;5;5;5;5;5;5;5;5;4;3;4;5;1;3;4;5;5;1;1;5;5;1;2;1;1;1;1;3;4;3;1;1;1;2;2;1;4;4;3;4;4;4;1;1;1;1;2;2;1;2;2;1;2;1;4;2;4;1;1;5;5;5;5;5;5;1;1;2;4;1;4;2;2;2;1;2;4;4;5;5;1;1;1;1;1;1;1;1;1;1;2;2;2;2;3;1;1;2;0;2;6;3;0;0;1;2
158;ROCAFUERTE;VENTA DE GRANOS SANCHEZ;San Andres;0993032856;1;1;1;4;1;2;1;1;1;1;4;2;4;1;1;1;2;1;4;4;1;2;2;1;1;2;2;1;1;1;1;4;1;4;1;1;1;2;4;2;4;2;1;1;1;1;4;4;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;$ 1.500,00 ;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;4;2;4;4;1;4;1;5;5;1;1;5;5;1;2;1;2;1;1;4;4;2;1;1;1;2;2;1;4;4;2;4;4;4;1;1;1;1;1;1;1;2;2;1;2;1;4;4;4;1;1;5;5;5;5;5;5;1;1;4;4;1;4;2;1;1;1;2;4;4;5;5;1;1;1;2;2;1;1;2;1;1;1;1;2;2;2;1;1;2;0;3;6;1;0;0;1;1
159;ROCAFUERTE;COMERCIO DE GANADO ZAMBRANO ;La California;0999224208;1;2;1;4;2;2;1;1;1;2;1;1;4;1;1;1;1;1;4;4;1;2;2;1;1;1;2;1;4;1;1;4;1;4;1;1;2;2;4;1;4;1;1;1;1;4;4;4;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;4;4;4;4;4;4;4;4;1;4;4;1;4;4;$ 1.600,00 ;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;5;5;5;2;2;2;2;1;3;2;4;4;1;1;5;3;1;4;2;1;1;1;2;4;2;1;1;1;2;4;1;2;2;2;2;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;2;4;1;1;5;5;5;5;5;5;1;1;2;4;1;4;2;1;1;1;2;4;4;5;5;1;1;1;1;1;1;1;2;1;1;2;2;2;3;3;1;1;2;0;4;6;1;0;0;1;1
160;ROCAFUERTE;TALLER DE ELECTRÓNICA ANCHUNDIA;Buenos Aires;0992039543;1;1;1;4;1;2;1;1;1;1;1;1;3;1;1;1;4;1;4;4;1;1;1;1;1;1;2;1;4;1;1;4;1;4;1;1;1;2;1;1;1;1;1;1;4;1;4;1;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;$ 1.500,00 ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;2;4;4;2;1;4;1;5;5;1;1;5;5;1;4;2;1;1;1;4;4;2;1;1;1;1;2;1;4;1;2;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;1;1;5;5;5;5;5;5;1;1;4;4;1;4;2;1;1;1;2;2;2;5;5;1;1;1;1;2;1;1;2;2;1;2;2;2;2;3;1;1;2;0;4;6;5;0;0;1;1
161;ROCAFUERTE;VENTA DE ARROZ JESUS ;Ceibal;0982496338;1;1;1;4;1;2;1;1;1;2;4;1;2;1;1;1;4;1;4;4;1;1;1;1;1;1;2;1;1;1;1;4;4;4;1;1;1;2;4;1;4;1;1;1;1;1;4;4;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;4;4;4;4;4;4;4;4;1;1;1;4;4;4;$ 800,00 ;1;1;1;1;1;1;2;2;1;1;1;1;5;5;5;5;5;5;5;5;2;1;4;4;1;4;1;5;5;1;1;5;5;1;2;1;2;1;2;4;4;2;1;1;1;1;2;1;4;4;2;2;4;4;1;1;1;1;2;1;1;1;1;1;1;1;4;4;4;1;1;5;5;5;5;5;5;1;1;2;4;1;4;2;1;2;1;2;4;4;5;5;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;2;0;3;6;1;0;0;1;1
162;ROCAFUERTE;VENTA DE ARROZ PALACIO;La California;0994669446;1;1;1;2;1;2;1;1;1;1;1;1;4;1;1;1;2;1;4;4;1;1;1;1;1;1;2;1;1;1;1;4;1;4;1;1;2;2;2;1;2;1;1;1;1;1;4;4;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;$ 1.000,00 ;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;4;2;3;4;1;3;1;5;5;1;1;5;5;1;2;1;1;1;2;2;4;2;1;1;1;2;4;1;2;3;2;2;4;4;1;1;1;1;1;1;1;2;2;1;1;1;4;2;4;2;2;5;5;5;5;5;5;1;1;4;4;1;4;1;1;1;1;1;4;4;5;5;1;1;1;2;1;1;1;1;1;1;2;2;2;3;3;1;1;2;0;3;6;1;0;0;1;1
163;PORTOVIEJO;CLUB DE NUTRICION HERBALIFE;Parroquia Calderón;0986878665;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;1;4;1;2;2;1;1;1;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;1;5;5;5;5;5;1;1;5;5;5;1;5;5;5;5;5;5;5;5;5;5;$ 700,00 ;1;1;1;1;1;1;3;3;1;1;1;2;5;5;5;5;5;5;5;5;3;3;3;2;1;3;2;4;3;3;1;1;3;1;4;1;1;1;1;3;1;2;2;2;2;2;1;1;3;2;2;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;1;1;5;5;5;5;5;5;2;2;2;1;1;4;1;1;1;1;1;4;1;5;5;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;2;1;2;0;3;5;4;1;1;1;3
164;PORTOVIEJO;CHOCO GUINEO EMPASTADO;Cordova y Olmedo;2041751;1;1;1;5;2;1;1;1;1;5;1;1;4;1;1;1;4;4;2;4;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;2;2;1;2;1;2;2;1;2;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;2;5;5;5;5;5;1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;$ 800,00 ;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;4;4;3;4;1;3;2;3;4;4;1;3;1;1;4;1;1;1;1;3;1;2;1;1;1;1;1;2;3;3;2;3;3;4;1;1;1;1;1;1;1;2;2;1;1;1;4;4;4;1;1;5;5;5;5;5;5;2;1;3;4;1;4;2;1;1;1;1;4;1;5;5;2;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;2;0;3;1;5;1;0;1;2
165;PORTOVIEJO;LÁPIDAS CUENCA;Rocafuerte entre Pedro Gual y 10 de Agosto;0990855039;1;1;1;2;1;1;1;1;1;4;1;1;4;2;2;1;1;1;1;4;1;1;2;1;1;1;2;1;1;1;1;1;4;4;4;2;1;2;2;1;2;2;1;1;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;1;5;5;5;5;5;5;5;5;4;1;2;1;4;1;1;$ 1.100,00 ;1;1;1;1;2;2;2;2;2;2;2;2;2;3;5;5;5;5;5;5;2;2;2;2;1;3;3;3;3;3;1;1;1;1;4;1;1;1;1;3;4;2;1;1;1;1;3;1;3;3;2;4;4;4;1;2;2;2;2;2;1;2;2;2;1;1;3;4;4;1;1;5;5;5;5;5;5;2;1;1;1;1;4;2;1;1;1;1;3;4;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0;3;6;3;0;1;1;1
166;PORTOVIEJO;JOAOCELL ;Av. Rocafuerte y Pedro Gual;0990970059;1;1;1;4;1;4;1;1;1;1;1;1;2;1;1;1;1;3;1;4;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;4;1;4;4;4;1;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;1;5;5;5;5;5;1;4;4;4;4;1;4;4;4;5;5;5;5;5;5;5;$ 1.200,00 ;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;5;5;5;3;3;3;3;1;3;1;4;4;1;1;1;1;1;4;1;1;1;1;3;4;2;1;1;1;1;3;2;3;3;1;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;4;4;1;1;5;5;5;5;5;5;1;1;1;5;1;5;2;1;1;1;1;4;2;5;5;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;2;0;3;5;3;3;0;1;2
167;PORTOVIEJO;HL FRÍO ;Rocafuerte entre Pedro Gual y 10 de Agosto;0993113507;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;4;4;1;4;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;2;1;2;2;1;3;1;1;1;2;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;1;5;5;1;5;5;1;1;5;5;5;5;1;1;5;5;5;5;5;5;5;4;1;1;1;2;1;1;$ 600,00 ;1;1;1;1;1;2;2;2;1;1;1;1;5;5;5;5;5;5;5;5;3;3;3;3;1;4;1;4;3;1;1;1;1;1;4;1;1;1;1;3;1;3;1;1;1;1;1;2;4;3;2;4;4;4;1;1;1;1;1;1;1;1;2;1;1;2;5;4;4;2;1;5;5;5;5;5;5;1;1;1;1;2;1;2;1;1;1;1;1;1;5;5;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0;3;2;9;2;0;1;1
168;PORTOVIEJO;FARMACIA BOLÍVAR;Parroquia Calderón;0982330194;1;1;1;4;4;1;1;1;4;4;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;4;4;1;1;1;1;1;0;0;0;0;0;0;1;1;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;1;1;5;5;5;5;5;5;5;5;5;$ 1.200,00 ;1;2;2;2;2;2;2;2;1;1;1;1;5;5;5;5;5;5;5;5;2;2;2;2;1;1;1;1;4;1;1;1;1;1;4;1;1;1;1;3;2;2;1;1;1;1;2;1;2;3;2;4;4;4;1;2;2;1;1;1;1;1;1;1;1;1;5;4;4;1;1;5;5;5;5;5;5;2;1;1;4;1;4;2;1;1;1;1;5;2;5;5;1;1;1;1;1;1;1;2;2;1;1;1;1;3;1;1;1;2;0;3;6;7;0;2;1;4
169;ROCAFUERTE;VENTA DE ARROZ MORA;Puerto Loor ;0980609654;2;1;2;4;2;2;1;1;1;2;1;1;3;1;1;1;1;2;2;2;1;1;2;1;1;2;2;1;4;1;1;2;2;2;2;2;2;2;3;1;4;1;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;2;4;5;5;5;5;1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;$ 1.000,00 ;2;2;2;2;2;2;3;2;2;2;2;2;5;5;5;5;5;5;5;5;3;1;3;2;1;4;3;4;5;5;1;5;5;1;3;1;1;1;2;4;4;2;1;1;1;1;3;1;4;3;2;3;4;4;1;1;1;1;1;1;2;2;2;2;2;2;4;3;3;1;1;5;5;5;5;5;5;2;1;3;4;1;4;2;1;1;1;1;3;3;5;5;5;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;2;0;3;6;1;0;0;1;1
170;SUCRE;TIENDA ZAMBRANO;San Clemente;0991524598;1;1;1;4;1;4;1;1;1;1;1;1;3;1;1;1;2;3;4;4;2;2;3;2;2;2;2;1;1;1;1;1;4;1;1;1;1;2;1;1;4;1;1;1;5;1;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;4;5;5;5;5;1;2;5;5;5;1;5;5;5;5;5;5;5;5;5;5;$ 1.100,00 ;1;1;1;1;1;1;2;2;1;1;1;2;5;5;1;5;5;5;5;5;1;1;1;1;1;3;3;2;3;5;1;1;1;1;3;1;1;1;1;2;1;2;1;1;1;1;1;1;3;3;2;3;3;3;1;1;1;1;1;1;1;5;5;5;5;5;4;4;4;1;1;5;5;5;5;5;5;1;1;3;4;1;3;2;1;1;1;1;3;1;5;5;5;1;1;2;1;1;5;2;2;1;2;2;2;3;2;1;1;2;0;2;6;3;0;0;1;2
171;PORTOVIEJO;CONSULTORIO ODONTOLÓGICO GEMA ROMERO;Parroquia Calderón;0988018817;1;1;2;2;1;1;1;1;1;1;2;1;2;1;1;1;1;2;1;4;1;1;1;1;1;1;2;1;1;1;1;4;4;4;1;1;1;2;2;2;2;2;2;2;2;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;2;5;5;5;5;5;1;4;4;4;4;1;4;4;4;5;5;5;5;5;5;5;$ 1.000,00 ;1;1;1;1;2;1;3;2;1;2;2;2;2;2;5;5;5;5;5;5;1;4;3;1;1;4;3;4;5;5;1;5;2;1;3;1;1;1;1;4;4;2;1;1;1;1;1;1;4;3;2;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;4;4;2;1;1;5;5;5;5;5;5;1;1;2;1;1;4;2;1;1;1;1;2;3;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;0;5;6;4;0;0;1;1
172;PORTOVIEJO;"COMERCIAL ""PAEZ AYALA""";15de Abril y Venezuela (Terminal);052934989;1;1;2;4;1;1;1;1;1;1;4;1;1;1;1;1;1;4;1;4;1;1;2;1;1;1;2;1;1;1;1;4;1;4;1;1;2;1;0;0;0;0;0;0;1;1;4;1;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;4;4;4;4;4;4;4;4;4;$ 1.100,00 ;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;2;2;3;4;1;1;2;3;5;1;1;5;5;1;4;1;1;1;1;2;4;2;1;1;1;2;4;1;2;2;2;3;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;2;4;4;1;5;5;5;5;5;5;1;1;2;4;1;4;2;1;1;1;2;4;4;5;5;1;1;1;1;1;1;1;1;1;1;2;2;2;2;3;2;1;2;0;3;6;3;3;0;1;2
173;PORTOVIEJO;CALZADOS GUILLEN;Parroquia Abdon Calderon;0988827959;2;1;1;2;1;1;1;1;1;2;1;1;2;1;1;1;4;4;1;4;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;4;4;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;4;4;4;4;4;4;4;4;4;$ 800,00 ;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;2;2;3;4;1;1;1;5;5;1;1;5;5;1;2;1;1;1;1;4;4;3;2;2;2;2;2;1;4;3;2;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;1;1;5;5;5;5;5;5;1;1;2;4;1;4;2;1;1;1;2;4;4;5;5;1;1;1;1;2;1;1;2;1;1;2;2;2;2;3;1;1;2;0;3;4;3;0;0;1;2
174;PORTOVIEJO;CALZADOS DE NIURKA;Parroquia Abdon Calderon;0968945976;2;1;2;1;2;1;1;1;1;1;1;1;4;1;1;1;4;2;1;4;1;2;2;1;1;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;4;4;4;4;4;1;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;$ 600,00 ;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;2;3;3;4;1;1;2;5;5;1;1;5;5;1;2;1;1;1;1;4;4;3;1;1;1;1;4;1;2;3;2;3;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;2;4;1;1;5;5;5;5;5;5;1;1;2;4;1;4;2;1;1;1;2;4;4;5;5;1;1;1;1;2;1;1;2;1;1;2;2;2;2;3;1;1;2;0;3;4;3;0;0;1;1
